0.0,-0.0,0.0
0.0,0.3931,-0.1277
0.0,0.7862,-0.2555
0.0,1.1793,-0.3832
0.0,1.5724,-0.5109
0.0,1.9655,-0.6386
0.0,2.3586,-0.7664
0.0,2.7517,-0.8941
0.0,3.1448,-1.0218
0.0,3.5379,-1.1495
0.0,3.9311,-1.2773
0.0,4.3242,-1.405
0.0,4.7173,-1.5327
0.0,5.1104,-1.6605
0.0,5.5035,-1.7882
0.0,5.8966,-1.9159
0.0,6.2897,-2.0436
0.0,6.6828,-2.1714
0.0,7.0759,-2.2991
0.0,7.469,-2.4268
0.0,7.8621,-2.5546
0.0,8.2552,-2.6823
0.0,8.6483,-2.81
0.0,9.0414,-2.9377
0.0,9.4345,-3.0655
0.0,9.8276,-3.1932
0.0,10.2207,-3.3209
0.0,10.6138,-3.4486
0.0,11.0069,-3.5764
0.0,11.4,-3.7041
0.0,11.7932,-3.8318
0.0,12.1863,-3.9596
0.0,12.5794,-4.0873
0.0,12.9725,-4.215
0.0,13.3656,-4.3427
0.0,13.7587,-4.4705
0.0,14.1518,-4.5982
0.0,14.5449,-4.7259
0.0,14.938,-4.8536
0.0,15.3311,-4.9814
0.0,15.7242,-5.1091
0.0,16.1173,-5.2368
0.0,16.5104,-5.3646
0.0,16.9035,-5.4923
0.0,17.2966,-5.62
0.0,17.6897,-5.7477
0.0,18.0828,-5.8755
0.0,18.4759,-6.0032
0.0,18.869,-6.1309
0.0,19.2621,-6.2587
